Company,Year,Month,Month_Name,Open,Close,Avg_Volume,Monthly_Return_%
HDFC Bank,2023,1,Jan 2023,782.8598948008254,771.552490234375,14571360.857142856,-1.44
HDFC Bank,2023,2,Feb 2023,781.4164646974513,769.6759643554688,12661318.5,-1.5
HDFC Bank,2023,3,Mar 2023,775.6425042238213,774.4635009765625,26785766.38095238,-0.15
HDFC Bank,2023,4,Apr 2023,773.5012598964762,812.0187377929688,34908927.176470585,4.98
HDFC Bank,2023,5,May 2023,812.547950500037,783.977783203125,35074095.0,-3.52
HDFC Bank,2023,6,Jun 2023,788.3822359863269,828.047119140625,29027247.80952381,5.03
HDFC Bank,2023,7,Jul 2023,833.449367439012,803.615478515625,44225447.14285714,-3.58
HDFC Bank,2023,8,Aug 2023,805.1972354940766,764.80224609375,38334825.54545455,-5.02
HDFC Bank,2023,9,Sep 2023,764.5833196769412,742.8284301757812,51381383.1,-2.85
HDFC Bank,2023,10,Oct 2023,743.1690816035621,718.591552734375,31508794.9,-3.31
HDFC Bank,2023,11,Nov 2023,711.6562028835086,758.6456909179688,29124842.4,6.6
HDFC Bank,2023,12,Dec 2023,758.207681074416,831.8675537109375,37826522.1,9.71
HDFC Bank,2024,1,Jan 2024,830.285869252277,711.80224609375,56954015.9047619,-14.27
HDFC Bank,2024,2,Feb 2024,713.0189555223712,683.0147705078125,45048540.76190476,-4.21
HDFC Bank,2024,3,Mar 2024,681.360036052442,704.6723022460938,51439078.55555555,3.42
HDFC Bank,2024,4,Apr 2024,709.5878149173326,739.8109741210938,36224928.6,4.26
HDFC Bank,2024,5,May 2024,740.7356535814621,755.5620727539062,35301672.85714286,2.0
HDFC Bank,2024,6,Jun 2024,788.8372786068238,830.671875,48193480.526315786,5.3
HDFC Bank,2024,7,Jul 2024,828.7971320491276,797.1006469726562,47912489.45454545,-3.82
HDFC Bank,2024,8,Aug 2024,800.627938629233,807.5346069335938,53936279.23809524,0.86
HDFC Bank,2024,9,Sep 2024,812.4185353190471,854.47509765625,29866230.95238095,5.18
HDFC Bank,2024,10,Oct 2024,850.5037447767241,856.2756958007812,32930479.90909091,0.68
HDFC Bank,2024,11,Nov 2024,854.9437742666823,886.04833984375,50149291.78947368,3.64
HDFC Bank,2024,12,Dec 2024,889.7236388960249,874.60302734375,20931934.0,-1.7
Infosys,2023,1,Jan 2023,1388.5307532282952,1406.64404296875,6766379.952380952,1.3
Infosys,2023,2,Feb 2023,1414.3936968698845,1364.2728271484375,4967348.0,-3.54
Infosys,2023,3,Mar 2023,1368.7210658416525,1309.612060546875,6793787.380952381,-4.32
Infosys,2023,4,Apr 2023,1316.077848821429,1148.931396484375,10699762.11764706,-12.7
Infosys,2023,5,May 2023,1150.5822227207543,1209.049072265625,6989040.181818182,5.08
Infosys,2023,6,Jun 2023,1212.9469416793345,1241.2862548828125,5966804.0,2.34
Infosys,2023,7,Jul 2023,1236.1744671036192,1260.061279296875,10118513.61904762,1.93
Infosys,2023,8,Aug 2023,1265.9169045571427,1334.1851806640625,4871061.181818182,5.39
Infosys,2023,9,Sep 2023,1330.002812639452,1334.1851806640625,5077053.2,0.31
Infosys,2023,10,Oct 2023,1334.7429511957962,1288.3277587890625,5782977.8,-3.48
Infosys,2023,11,Nov 2023,1292.7058299617952,1370.001708984375,4259304.2,5.98
Infosys,2023,12,Dec 2023,1374.4738659652146,1452.616943359375,6503892.15,5.69
Infosys,2024,1,Jan 2024,1448.9451947683858,1563.7122802734375,7896340.80952381,7.92
Infosys,2024,2,Feb 2024,1562.4412365507558,1575.951416015625,4841609.80952381,0.86
Infosys,2024,3,Mar 2024,1571.3381567596207,1410.3914794921875,7550041.833333333,-10.24
Infosys,2024,4,Apr 2024,1435.7644049013911,1337.4263916015625,9272678.35,-6.85
Infosys,2024,5,May 2024,1330.3179985042082,1351.076904296875,8328431.619047619,1.56
Infosys,2024,6,Jun 2024,1382.8636553906256,1504.5843505859375,9322866.736842105,8.8
Infosys,2024,7,Jul 2024,1497.6221720979563,1794.1214599609375,8750878.318181818,19.8
Infosys,2024,8,Aug 2024,1782.4535340253058,1866.5777587890625,5936690.047619048,4.72
Infosys,2024,9,Sep 2024,1866.241657337013,1801.179931640625,6398538.19047619,-3.49
Infosys,2024,10,Oct 2024,1800.603757202924,1706.740234375,5644601.045454546,-5.21
Infosys,2024,11,Nov 2024,1713.7816813488191,1804.448486328125,5603211.157894737,5.29
Infosys,2024,12,Dec 2024,1805.5655210664468,1825.9617919921875,4985378.666666667,1.13
Reliance,2023,1,Jan 2023,1164.066351583663,1074.5244140625,13601406.761904761,-7.69
Reliance,2023,2,Feb 2023,1086.439023705242,1060.2362060546875,15285574.15,-2.41
Reliance,2023,3,Mar 2023,1070.0280642112666,1064.116455078125,16573032.904761905,-0.55
Reliance,2023,4,Apr 2023,1070.4846960590223,1104.9500732421875,12343396.764705881,3.22
Reliance,2023,5,May 2023,1112.117161007185,1127.5009765625,9934955.590909092,1.38
Reliance,2023,6,Jun 2023,1132.180215680503,1164.1805419921875,10653505.333333334,2.83
Reliance,2023,7,Jul 2023,1167.741194264735,1260.8065185546875,19821657.904761903,7.97
Reliance,2023,8,Aug 2023,1263.6503718598296,1194.65771484375,13567049.363636363,-5.46
Reliance,2023,9,Sep 2023,1194.4343955405525,1163.8856201171875,15851691.8,-2.56
Reliance,2023,10,Oct 2023,1156.415758225436,1135.5452880859375,10283667.9,-1.8
Reliance,2023,11,Nov 2023,1136.1656826268284,1179.9913330078125,10285748.0,3.86
Reliance,2023,12,Dec 2023,1180.2643464861462,1282.9791259765625,12773131.5,8.7
Reliance,2024,1,Jan 2024,1280.795398303561,1416.1434326171875,12317845.047619049,10.57
Reliance,2024,2,Feb 2024,1424.4569627393994,1450.0675048828125,11371931.523809524,1.8
Reliance,2024,3,Mar 2024,1452.7475417409498,1474.933349609375,12526594.333333334,1.53
Reliance,2024,4,Apr 2024,1481.5095896793896,1456.221923828125,10974860.0,-1.71
Reliance,2024,5,May 2024,1461.1850562736174,1419.8907470703125,11437851.61904762,-2.83
Reliance,2024,6,Jun 2024,1472.1043222829317,1553.89892578125,16792089.789473683,5.56
Reliance,2024,7,Jul 2024,1551.0450507194453,1494.364501953125,10458643.909090908,-3.65
Reliance,2024,8,Aug 2024,1500.8913109431162,1503.6197509765625,12360454.19047619,0.18
Reliance,2024,9,Sep 2024,1504.8647654458696,1470.701171875,14176900.19047619,-2.27
Reliance,2024,10,Oct 2024,1474.7599230273088,1326.7510986328125,18217019.90909091,-10.04
Reliance,2024,11,Nov 2024,1327.7471304089104,1287.0595703125,14731616.94736842,-3.06
Reliance,2024,12,Dec 2024,1282.876370557777,1210.6148681640625,13740924.142857144,-5.63
TCS,2023,1,Jan 2023,2932.3893356780377,3088.895263671875,1901042.1904761905,5.34
TCS,2023,2,Feb 2023,3092.8500073277646,3046.728759765625,1567149.6,-1.49
TCS,2023,3,Mar 2023,3056.063779711126,2948.36962890625,1904534.238095238,-3.52
TCS,2023,4,Apr 2023,2965.889568062685,2960.647216796875,2577896.588235294,-0.18
TCS,2023,5,May 2023,2975.132096356152,3025.254638671875,1664364.3181818181,1.68
TCS,2023,6,Jun 2023,3047.786210667212,3059.56640625,1826760.7142857143,0.39
TCS,2023,7,Jul 2023,3070.731032946452,3178.249755859375,2269434.0476190476,3.5
TCS,2023,8,Aug 2023,3172.258069660684,3118.195068359375,1632753.0,-1.7
TCS,2023,9,Sep 2023,3126.740758299694,3277.782958984375,1922147.05,4.83
TCS,2023,10,Oct 2023,3282.985396320475,3137.392333984375,1990905.3,-4.43
TCS,2023,11,Nov 2023,3124.586727484181,3248.080322265625,1810391.9,3.95
TCS,2023,12,Dec 2023,3259.628456286476,3532.878662109375,2278609.75,8.38
TCS,2024,1,Jan 2024,3529.712285492124,3578.638916015625,2272859.8571428573,1.39
TCS,2024,2,Feb 2024,3582.436989907515,3840.428955078125,2067182.3333333333,7.2
TCS,2024,3,Mar 2024,3851.7765458152944,3635.23583984375,3191653.3333333335,-5.62
TCS,2024,4,Apr 2024,3655.304825869685,3583.04638671875,2505099.35,-1.98
TCS,2024,5,May 2024,3543.095825813969,3467.677734375,2304661.095238095,-2.13
TCS,2024,6,Jun 2024,3526.103296774428,3687.965087890625,2582541.263157895,4.59
TCS,2024,7,Jul 2024,3668.9307461619287,4152.14111328125,3172397.590909091,13.17
TCS,2024,8,Aug 2024,4165.443127805721,4311.5849609375,2109493.4285714286,3.51
TCS,2024,9,Sep 2024,4332.652505910395,4041.5048828125,2225427.3333333335,-6.72
TCS,2024,10,Oct 2024,4029.24426898393,3766.577880859375,2322457.1363636362,-6.52
TCS,2024,11,Nov 2024,3786.889338989994,4053.594970703125,2173333.1052631577,7.04
TCS,2024,12,Dec 2024,4052.7879830735096,3886.50048828125,2111930.0476190476,-4.1
Wipro,2023,1,Jan 2023,183.35561477645567,186.5432891845703,9832512.857142856,1.74
Wipro,2023,2,Feb 2023,187.7826988194839,181.0243988037109,6776807.0,-3.6
Wipro,2023,3,Mar 2023,181.51549362207928,170.8284912109375,6722582.666666667,-5.89
Wipro,2023,4,Apr 2023,172.0912628173828,180.06561279296875,8763682.11764706,4.63
Wipro,2023,5,May 2023,181.9364197879636,188.7882537841797,7465384.2727272725,3.77
Wipro,2023,6,Jun 2023,189.41965838001164,182.006576538086,11990047.42857143,-3.91
Wipro,2023,7,Jul 2023,184.228161475666,189.4430389404297,12685536.38095238,2.83
Wipro,2023,8,Aug 2023,189.6535206612884,191.0098419189453,8170749.636363637,0.72
Wipro,2023,9,Sep 2023,190.79937226337583,189.9107360839844,12235684.0,-0.47
Wipro,2023,10,Oct 2023,190.0978298048795,178.56895446777344,8613838.2,-6.06
Wipro,2023,11,Nov 2023,179.52775272906075,193.1846618652344,8343686.8,7.61
Wipro,2023,12,Dec 2023,193.51206324920693,220.4283447265625,20526815.2,13.91
Wipro,2024,1,Jan 2024,221.2234645929253,224.10906982421875,22163756.0,1.3
Wipro,2024,2,Feb 2024,223.8278235496928,243.0679626464844,17113949.904761903,8.6
Wipro,2024,3,Mar 2024,244.8490563149495,225.0230407714844,12332261.0,-8.1
Wipro,2024,4,Apr 2024,226.71034349019945,216.72702026367188,13809916.4,-4.4
Wipro,2024,5,May 2024,216.7270313303772,205.38449096679688,11883898.095238095,-5.23
Wipro,2024,6,Jun 2024,211.00890101467547,241.3103485107422,23367318.94736842,14.36
Wipro,2024,7,Jul 2024,242.73990284115155,244.6615600585937,21712843.181818184,0.79
Wipro,2024,8,Aug 2024,245.1302589795877,252.3482666015625,13888601.047619049,2.94
Wipro,2024,9,Sep 2024,252.3482512472449,253.77780151367188,14721787.80952381,0.57
Wipro,2024,10,Oct 2024,253.1919204582008,258.6288452148437,17585032.636363637,2.15
Wipro,2024,11,Nov 2024,258.58196998971823,270.8385009765625,13023205.684210526,4.74
Wipro,2024,12,Dec 2024,272.9945005601026,282.95440673828125,11135901.38095238,3.65
